0.074647	0.151045	0.231	0.316435	0.409463	0.512473	0.628252	0.760157	0.91236	1.09024	1.30098	1.55465	1.86595	2.25762	2.76706	3.46055	4.46651	6.0619	8.92218	14.9254	
0.147543	0.298532	0.456519	0.625278	0.808944	1.01218	1.24038	1.50002	1.79905	2.1476	2.55905	3.05167	3.65153	4.39746	5.35007	6.60863	8.34359	10.8589	14.7015	20.7792	
0.216995	0.439022	0.671264	0.919215	1.18886	1.48691	1.82107	2.20048	2.6362	3.14208	3.73594	4.44144	5.29103	6.33062	7.62713	9.28031	11.4403	14.3287	18.2455	23.4901	
0.281413	0.569296	0.870302	1.19146	1.54037	1.92552	2.35653	2.84463	3.4032	4.04859	4.80119	5.68713	6.74053	8.00688	9.54753	11.4452	13.8085	16.7702	20.4618	24.9356	
0.33936	0.686448	1.04919	1.43593	1.85566	2.31827	2.83489	3.4183	4.08339	4.84787	5.73312	6.76535	7.97707	9.40882	11.1109	13.1443	15.5785	18.4816	21.896	25.7906	
0.389581	0.787944	1.20408	1.64743	2.12806	2.657	3.24648	3.91029	4.66419	5.52637	6.51806	7.66409	8.99359	10.5404	12.343	14.4427	16.8795	19.6819	22.8498	26.3309	
0.431018	0.871663	1.33177	1.82163	2.35216	2.9352	3.58374	4.31219	5.13669	6.07538	7.14865	8.37936	9.79279	11.4163	13.2779	15.4041	17.815	20.5165	23.4905	26.6831	
0.462828	0.935913	1.42972	1.95515	2.52375	3.14789	3.84108	4.61805	5.49502	6.4898	7.6218	8.91189	10.382	12.0539	13.9482	16.0809	18.4597	21.0788	23.9125	26.9111	
0.484383	0.979439	1.49605	2.04552	2.63977	3.29156	4.01463	4.8239	5.73554	6.767	7.93686	9.26446	10.7692	12.4693	14.3802	16.5115	18.8641	21.4263	24.1698	27.0486	
0.495264	1.00141	1.52952	2.0911	2.69827	3.36394	4.10198	4.92737	5.85624	6.90581	8.09419	9.43989	10.961	12.674	14.5916	16.7207	19.0591	21.5925	24.2919	27.1135	
0.495264	1.00141	1.52952	2.0911	2.69827	3.36394	4.10198	4.92737	5.85624	6.90581	8.09419	9.43989	10.961	12.674	14.5916	16.7207	19.0591	21.5925	24.2919	27.1135	
0.484383	0.979439	1.49605	2.04552	2.63977	3.29156	4.01463	4.8239	5.73554	6.767	7.93686	9.26446	10.7692	12.4693	14.3802	16.5115	18.8641	21.4263	24.1698	27.0486	
0.462828	0.935913	1.42972	1.95515	2.52375	3.14789	3.84108	4.61805	5.49502	6.4898	7.6218	8.91189	10.382	12.0539	13.9482	16.0809	18.4597	21.0788	23.9125	26.9111	
0.431018	0.871663	1.33177	1.82163	2.35216	2.9352	3.58374	4.31219	5.13669	6.07538	7.14865	8.37936	9.79279	11.4163	13.2779	15.4041	17.815	20.5165	23.4905	26.6831	
0.389581	0.787944	1.20408	1.64743	2.12806	2.657	3.24648	3.91029	4.66419	5.52637	6.51806	7.66409	8.99359	10.5404	12.343	14.4427	16.8795	19.6819	22.8498	26.3309	
0.33936	0.686448	1.04919	1.43593	1.85566	2.31827	2.83489	3.4183	4.08339	4.84787	5.73312	6.76535	7.97707	9.40882	11.1109	13.1443	15.5785	18.4816	21.896	25.7906	
0.281413	0.569296	0.870302	1.19146	1.54037	1.92552	2.35653	2.84463	3.4032	4.04859	4.80119	5.68713	6.74053	8.00688	9.54753	11.4452	13.8085	16.7702	20.4618	24.9356	
0.216995	0.439022	0.671264	0.919215	1.18886	1.48691	1.82107	2.20048	2.6362	3.14208	3.73594	4.44144	5.29103	6.33062	7.62713	9.28031	11.4403	14.3287	18.2455	23.4901	
0.147543	0.298532	0.456519	0.625278	0.808944	1.01218	1.24038	1.50002	1.79905	2.1476	2.55905	3.05167	3.65153	4.39746	5.35007	6.60863	8.34359	10.8589	14.7015	20.7792	
0.074647	0.151045	0.231	0.316435	0.409463	0.512473	0.628252	0.760157	0.91236	1.09024	1.30098	1.55465	1.86595	2.25762	2.76706	3.46055	4.46651	6.0619	8.92218	14.9254	
